;;;;;
AÑO INICIO: 2024;;;;;
AÑO FIN: 2025;;;;;
REGION: TODOS (16);;;;;
PASO FRONTERIZO: TODOS (549);;;;;
PAIS: TODOS (252);;;;;
N.;PERIODO;;LLEGADAS;;
;AÑO;MES;TOTAL;Var. 12 Meses (%);
1;2013;ENERO;484.503;N/A;
2;2013;FEBRERO;350.251;N/A;
3;2013;MARZO;356.288;N/A;
4;2013;ABRIL;252.000;N/A;
5;2013;MAYO;210.616;N/A;
6;2013;JUNIO;197.421;N/A;
7;2013;JULIO;258.355;N/A;
8;2013;AGOSTO;252.228;N/A;
9;2013;SEPTIEMBRE;240.671;N/A;
10;2013;OCTUBRE;290.725;N/A;
11;2013;NOVIEMBRE;308.510;N/A;
12;2013;DICIEMBRE;374.636;N/A;
13;2014;ENERO;490.976;N/A;
14;2014;FEBRERO;354.125;N/A;
15;2014;MARZO;333.977;N/A;
16;2014;ABRIL;254.063;N/A;
17;2014;MAYO;228.542;N/A;
18;2014;JUNIO;193.004;N/A;
19;2014;JULIO;270.426;N/A;
20;2014;AGOSTO;251.258;N/A;
21;2014;SEPTIEMBRE;244.717;N/A;
22;2014;OCTUBRE;302.173;N/A;
23;2014;NOVIEMBRE;312.854;N/A;
24;2014;DICIEMBRE;438.276;N/A;
25;2015;ENERO;560.655;N/A;
26;2015;FEBRERO;432.415;N/A;
27;2015;MARZO;370.776;N/A;
28;2015;ABRIL;313.408;N/A;
29;2015;MAYO;263.887;N/A;
30;2015;JUNIO;284.005;N/A;
31;2015;JULIO;331.061;N/A;
32;2015;AGOSTO;294.748;N/A;
33;2015;SEPTIEMBRE;300.488;N/A;
34;2015;OCTUBRE;360.330;N/A;
35;2015;NOVIEMBRE;401.287;N/A;
36;2015;DICIEMBRE;565.276;N/A;
37;2016;ENERO;730.786;N/A;
38;2016;FEBRERO;599.445;N/A;
39;2016;MARZO;510.732;N/A;
40;2016;ABRIL;374.190;N/A;
41;2016;MAYO;320.357;N/A;
42;2016;JUNIO;301.805;N/A;
43;2016;JULIO;440.925;N/A;
44;2016;AGOSTO;370.845;N/A;
45;2016;SEPTIEMBRE;403.192;N/A;
46;2016;OCTUBRE;456.322;N/A;
47;2016;NOVIEMBRE;474.278;N/A;
48;2016;DICIEMBRE;657.823;N/A;
49;2017;ENERO;964.027;N/A;
50;2017;FEBRERO;709.043;N/A;
51;2017;MARZO;521.123;N/A;
52;2017;ABRIL;469.626;N/A;
53;2017;MAYO;357.953;N/A;
54;2017;JUNIO;322.568;N/A;
55;2017;JULIO;491.167;N/A;
56;2017;AGOSTO;480.158;N/A;
57;2017;SEPTIEMBRE;442.503;N/A;
58;2017;OCTUBRE;481.782;N/A;
59;2017;NOVIEMBRE;517.243;N/A;
60;2017;DICIEMBRE;692.690;N/A;
61;2018;ENERO;893.326;N/A;
62;2018;FEBRERO;683.023;N/A;
63;2018;MARZO;574.260;N/A;
64;2018;ABRIL;436.258;N/A;
65;2018;MAYO;329.515;N/A;
66;2018;JUNIO;281.417;N/A;
67;2018;JULIO;409.798;N/A;
68;2018;AGOSTO;372.443;N/A;
69;2018;SEPTIEMBRE;351.607;N/A;
70;2018;OCTUBRE;369.372;N/A;
71;2018;NOVIEMBRE;463.974;N/A;
72;2018;DICIEMBRE;557.935;N/A;
